sku,name,description,imageURL,buyersChoice,price
q8XcZ,Comfy sofa,"Comfy sofa, perfect for lounging.",https://assets.wfcdn.com/im/62670254/resize-h445%5Ecompr-r85/2421/242194721/97.64%27%27+Upholstered+Sofa.jpg,FALSE,3475
7oN3a,Elegant dining table,"Elegant dining table, seats six.","https://m.media-amazon.com/images/I/812z61jpzzL._AC_UF894,1000_QL80_.jpg",TRUE,2122
fD6kT,Stylish coffee table with storage.,Stylish coffee table with storage.,https://i.etsystatic.com/17485513/r/il/cdb715/2067132854/il_794xN.2067132854_1ki8.jpg,TRUE,3639
bRtY1,Cozy armchair,"Cozy armchair, great for reading.","https://hips.hearstapps.com/amv-prod-gp.s3.amazonaws.com/gearpatrol/wp-content/uploads/2019/02/10-Best-Reading-Chairs-Gear-Patrol-lead-full-.jpg?crop=1.00xw:0.749xh;0,0.251xh&resize=980:*",FALSE,3603
e2LsP,Modern TV stand,"Modern TV stand, sleek design.",https://images.thdstatic.com/productImages/3b66eb22-a6eb-444c-8462-bba3e17bf1d6/svn/caramel-welwick-designs-tv-stands-hd8850-64_1000.jpg,FALSE,2412
iZ4Eh,Compact study desk,"Compact study desk, ideal for small spaces.","https://media.architecturaldigest.com/photos/60fab28ed27708560116582e/master/w_800,c_limit/Pbteen%20Tilden%20Small%20Space%20Desk.jpg",FALSE,2009
mQ7pD,Rustic bookshelf,"Rustic bookshelf, ample storage.",https://assets.wfcdn.com/im/82046106/resize-h755-w755%5Ecompr-r85/2127/212759401/Industrial+Bookshelf+LED+Light%2C+5-Tier+Tall+Display+Case+2+Drawers%2C+Free+Standing+Open+Storage+Shelf.jpg,FALSE,1473
uY0gV,Soft upholstered bed,"Soft upholstered bed, queen size.",https://www.ikea.com/us/en/images/products/idanaes-upholstered-bed-frame-gunnared-pale-pink__1101378_pe866638_s5.jpg,TRUE,2172
3hWjK,Chic dresser with a mirror.,Chic dresser with a mirror.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTRwoLkpsZ7f06U3BMGf9Ai905ovkQdwBAHXw&usqp=CAU,FALSE,2099
s9GfM,Wooden nightstand,"Wooden nightstand, two drawers."," https://m.media-amazon.com/images/I/61wR7RT+bkL._AC_UF894,1000_QL80_.jpg",FALSE,2869
l5BqC,Vintage chest of drawers,"Vintage chest of drawers, elegant look.",https://a.1stdibscdn.com/vintage-french-country-louis-xv-style-farmhouse-pine-dresser-three-drawer-chest-for-sale/f_53432/f_317966321671367810156/f_31796632_1671367811387_bg_processed.jpg?width=768,FALSE,2359
rA1wO,Sturdy barstools,"Sturdy barstools, set of two.",https://m.media-amazon.com/images/I/71t4b06jglL.jpg,FALSE,1912
dT2yI,Plush sectional sofa,"Plush sectional sofa, spacious.",https://cdn.trendir.com/wp-content/uploads/2017/12/versatile-plush-extra-large-sectional-sofa.jpg,FALSE,2487
6nUzL,Minimalist side table,"Minimalist side table, versatile.",https://www.paletteandparlor.com/cdn/shop/products/kristina-dam-14-inch-diameter-oak-stool-side-table_1024x1024.jpg?v=1683945753,TRUE,3187
xC4vS,Upholstered bench,"Upholstered bench, comfortable seating.",https://cdn11.bigcommerce.com/s-ihyqv7/images/stencil/1280x1280/products/1476/3106/IMG-3857__64428.1633020835.jpg?c=2,FALSE,3123
9oXcQ,Classic rocking chair,"Classic rocking chair, relaxing.",https://s7.landsend.com/is/image/LandsEnd/536814_LEPP_FF_BLA?$xl$&wid=1003&hei=1003,FALSE,2854
gV8eR,Sleek floor lamp,"Sleek floor lamp, dimmable.",https://m.media-amazon.com/images/I/81LUubJBBvL.jpg,TRUE,3099
kA3tW,Functional storage ottoman.,Functional storage ottoman.,https://i.pinimg.com/736x/4f/fc/de/4ffcde26fd4fd499ee6aaa6df2b36f68.jpg,FALSE,2174
yH7lZ,Folding dining chairs,"Folding dining chairs, set of four.",https://d9dvmj2a7k2dc.cloudfront.net/catalog/product/cache/1/image/731x481/17f82f742ffe127f42dca9de82fb58b1/d/a/danza_folding_table_with_four_chairs_in_walnut_cherry_and_white_lifestyle_bm_open_elm20211.jpg,FALSE,2132
2bMwJ,Antique vanity table,"Antique vanity table, timeless charm.",https://i5.walmartimages.com/asr/9c88d5c9-90c5-4d92-9faf-7a3e4dc88b71.f0fb0a34b81d21d41f963e91c7711673.jpeg,FALSE,2428
4jDqG,Wall-mounted coat rack,"Wall-mounted coat rack, stylish storage.",https://i5.walmartimages.com/asr/c8d53fa9-e6d6-4921-ba21-091b7b1bc190.a309becdc8e1e212c81a47f861255533.jpeg,FALSE,2200
cK0sF,Modern chaise lounge,"Modern chaise lounge, luxurious.",https://www.italydreamdesign.com/wp-content/uploads/upanddown-divano-chaise-longue-sofa-canape-pelle-leather-cuir-marron-05.jpg,TRUE,2697
zL5nE,Space-saving shoe rack,"Space-saving shoe rack, three tiers.","https://m.media-amazon.com/images/I/71BJt4es5hL._AC_UF894,1000_QL80_.jpg",FALSE,1985
